Item	Person_1	Person_2	Person_3	Person_4	Person_5	Person_6	Person_7	Person_8	Person_9	Person_10	Person_11	Person_12	Person_13	Person_14	Person_15	Person_16	Person_17	Person_18	Person_19	Person_20	Person_21	Person_22	Person_23	Person_24	Person_25	Person_26	Person_27	Person_28	Person_29	Person_30	Person_31	Person_32
I enjoy new challenges	0.6862523029666002	0.3233315213403408	1.165147779563962	1.687969948272857	0.9779309584423675	1.8141988958885142	0.6008813104944396	0.7896148803523085	0.6986513649138631	1.0732871543317555	1.0344870228823098	0.5154461162808384	1.7117177292906454	0.8191614634757952	0.6600982362384968	1.7075178360176557	0.6164114962817023	0.7999346450150645		1.6052092007771663	1.736482137024829	0.749204138369237	0.15584841933931615	0.7396633571005565	1.215196429085338	0.7585549419521426	1.7324432986285676	1.2243068612903873	1.6500042429987989		0.6950594305799819	1.1139268552131907
I come up with good ideas	1.314459512258811	1.2190897897325932	1.3253037737437106	1.6369357427106146	1.3207146589603502	1.7753497646365974	0.8045568787421413	0.8980339097529444	0.7870691623582904	1.1612538995305217	1.8550753497893662	0.9731139736133827	1.733359168386683	1.7173058559262337	1.3005927613897794	1.2077677241328566	0.5685065501142711			0.7047470269044883	1.8916533764197823	1.3757107337152032	1.0583355713500522	0.056009529177721507	1.3935383127225622	1.2694487870849884	1.738320603304763	1.2941144504429134	1.7737447328174856		1.1410833541647307	1.1779716857654374
I pursue perfection	1.0755247863964135	1.1613551175120627	0.8641296612623665	1.7523369200165928	0.8382157726155607	1.680874350078509	0.718804026670873	1.1053751930114473	0.6049579314594454	1.7965506430260985	1.234562353274903	1.298435995713774	-0.3931000065937056	1.7915925411892792	1.6953210256805296	1.2480600488438847	0.7750431520818474	1.793798271881771		1.289376603522085	1.7602289149074948	1.122940175403493	1.6405429738124333	1.233730759296931	1.2875629596465044	0.7171988505159671	1.150476285057231	0.5572801705411498	1.7134599914819901		0.3357037689331278	1.6238425911640948
I work well when things aren’t clearly defined	1.0789953976218227	0.05332689465631857	1.0796625070099266	1.0865548147916357	0.6549760838058265	0.46711907672164465	0.2518037257037369	1.58049685294412	0.060181832107374045	0.9120017730326688	0.5377234115392355	1.0539428156080504	1.5004874787758125	0.709722574816745	0.11573150934766607	0.5318601059937497	1.1964178371220147	0.15288267826995328	0.5826541798584015		1.5747994267834655	0.6499206207153807	0.7301193940397215	1.0026304961746226	0.3180808853858108	0.12187090086250818	1.527774679023281	0.7231888048955462	1.7607214016260135		1.0675264510125042	0.6084212821083976
I make decisions that involve risk	-0.5900650026204889	0.008192683891842467	1.4304817125461957	1.6124035503871168	0.6439195602683803	-0.1989738428203467	-0.01877506062951817	1.4761167536401212	1.396062199042371	-0.565355020392942	-0.5643940038531082	0.966528773439983	0.932102023607253	-0.542291301249629	-0.309236961649686	0.41619779741917406	0.013378536195858826	1.4643253439930661		1.0281815891552166	-0.6706390303069752	-0.0065104710351093775	-0.1450797057060461	0.857020859134275	0.735563869441165	1.009556872912038	-0.5110400353489247	0.9075199260551072	-0.5513944036163273		-0.640770634169386	1.5693051240299791
I am adventurous	1.20157415461588	0.7197462561049872	1.5992163612502879	1.8561556801119055	1.0525062644986825	0.7028919214094866	0.7455670524523077	1.2593526024978088	1.0992461199741659	1.6329457583437816	1.7303582434551308	0.6578688086107916	1.7261085278784345	1.270565270526095	1.7486835288128912	0.318583077203358	0.7006783023110144	1.6326632438485242		0.5930172959464469	1.1123390836746878		0.5291820025346526	0.1510385713712894	1.2472135761852652	1.154603102308604	1.215139299487665	1.229220233450406			1.269971416381878	1.666430723319094
I am comfortable making decisions in uncertain environments	1.1583473946999294	0.13260783365513729	1.5396243372248244	1.0022735833692167	1.01166910331248	1.0298999911784843	1.0779096669328023	0.9760713090518538	1.0136646500653486	0.5086342885412551	-0.03673392423496047	0.01076538892083223	0.37656566283770887	0.497712752688257	0.47848511000414873	0.837472519991336	0.5586096138805174	1.7336151134961257	1.155641060480994	0.20711263651216616	1.203427207633084	-0.3791896664016672	0.452277760257073	0.605604987604333	1.0637169442722116	-0.00013939286887215685	1.4814711163529006	0.5225939977878487			0.5732662814832465	0.40744353191149385
I am driven by my passion to innovate	1.8922958979035136	0.9280136473126329	1.8793561448338179	1.6367955377597885	1.2447091739796456	1.8652603139041855	0.7799194526739345	1.1394284152384286	1.289429898080007	1.230603844104765	1.7877877710491759	0.6040726870235605	1.6729950315656552	1.7837894904301477	1.1394430673418645	1.1577143351602253	0.8666957672316261	1.8635966613278363	1.2114972139769122	0.5888201688831233	1.8406583187573515	1.6155986981406416	0.6935421838783916	0.7178394051714027	1.8465330775149287	1.2302729536393096	1.730246045059483	0.7228476809668714			1.405888411132398	1.7684181245264443
I complete tasks I am not passionate about	1.0151703186436325	1.0338757282013333	0.778435898744734	1.4861138424601283	1.0040854989290549	0.00802859676846146	0.5789103870165675	0.977702128965739	-0.23995029978854882	0.4892171324223631	0.002602689085543841	1.0803515943391626	1.0481106275267456	0.49751617195638165	0.652933823940566	0.5346251315677757	0.49457557814755426	-0.45292790486538814		0.05711544971201854	-0.10624993357578355	-0.34025780978413045	1.0471164969644449	1.0198912144277883	0.542798014373371	0.3800575401144354	1.128622160181346	0.03433886009406084	-0.5701583428291774		0.5109452551316283	0.9183109796928794
I communicate my ideas	1.7673735816061673	1.5689368903664318	1.6789051139097124	1.7083972985778615	1.2284398572522095	1.1494412486768053	1.4037697842494419	1.4384624247791216	1.6587984364056294	1.0999754187219066	1.7876774479797426	0.20065276563505358	1.8101012792336122	1.8212799603702248	1.4187467956365518	0.258216454944303	1.2722684453714734	1.6385066996858426	1.7704584211774068	0.7468431049059712	0.6917347947863646	1.2419626285819456	0.8167609178295365	0.8403907085338793	1.3277841509035286	1.155559106021454	1.7802858461158548	1.3056770092261523			1.51294497852083	1.6277961402780128
